#Network | Station | Latitude | Longitude | Elevation | SiteName | StartTime | EndTime 
AU|I06H4|-12.14354|96.818489|16.0|Cocos Islands Infrasound Array, Site H4, Australia|2011-10-31T00:00:00.0000|
AU|I06H5|-12.1447|96.820847|19.3|Cocos Islands Infrasound Array, Site H5, Australia|2011-10-31T00:00:00.0000|
AU|I06H6|-12.14585|96.82428|29.2|Cocos Islands Infrasound Array, Site H6, Australia|2011-10-31T00:00:00.0000|
AU|I06H7|-12.15422|96.826881|14.0|Cocos Islands Infrasound Array, Site H7, Australia|2011-10-31T00:00:00.0000|
AU|I06H8|-12.15724|96.821693|11.9|Cocos Islands Infrasound Array, Site H8, Australia|2011-10-31T00:00:00.0000|
AU|I07H1|-19.934851|134.329544|385.5|Warramunga Infrasonic Array, Site I07H1, Australia|2000-05-12T00:00:00.0000|
AU|I07H2|-19.933411|134.330933|387.6|Warramunga Infrasonic Array, Site I07H2, Australia|2000-05-12T00:00:00.0000|
AU|I07H3|-19.93659|134.330734|392.0|Warramunga Infrasonic Array, Site I07H3, Australia|2000-05-12T00:00:00.0000|
AU|I07H4|-19.93502|134.327698|383.0|Warramunga Infrasonic Array, Site I07H4, Australia|2000-05-12T00:00:00.0000|
AU|I07H5|-19.924549|134.32579|387.3|Warramunga Infrasonic Array, Site I07H5, Australia|2013-05-23T00:00:00.0000|
AU|I07H6|-19.932699|134.338852|387.5|Warramunga Infrasonic Array, Site I07H6, Australia|2013-05-23T00:00:00.0000|
AU|I07H7|-19.94022|134.33963|387.7|Warramunga Infrasonic Array, Site I07H7, Australia|2013-05-23T00:00:00.0000|
AU|I07H8|-19.943291|134.322906|388.4|Warramunga Infrasonic Array, Site I07H8, Australia|2013-05-23T00:00:00.0000|
AU|INKA|-27.740999|140.745605|112.0|Innamincka, South Australia|2013-06-21T00:00:00.0000|
AU|KAKA|-12.7115|132.439606|100.0|Kakadu, Northern Territory|1998-03-19T00:00:00.0000|2008-11-27T00:00:00.0000
